Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
550.00	1.0000	0.021858	45.749	410.17	573.48	7.4809	0.76791	1.0650	476.02	0.018849	27.877	0.041042	vapor
560.00	1.0000	0.021468	46.581	417.86	584.14	7.5001	0.76984	1.0669	480.16	0.015210	28.227	0.041619	vapor
570.00	1.0000	0.021091	47.413	425.57	594.82	7.5190	0.77182	1.0689	484.25	0.011729	28.575	0.042195	vapor
580.00	1.0000	0.020728	48.245	433.30	605.52	7.5376	0.77386	1.0709	488.30	0.0083968	28.920	0.042770	vapor
590.00	1.0000	0.020376	49.076	441.05	616.24	7.5559	0.77594	1.0730	492.30	0.0052057	29.262	0.043344	vapor
600.00	1.0000	0.020037	49.908	448.82	626.98	7.5740	0.77807	1.0751	496.27	0.0021483	29.602	0.043917	vapor
610.00	1.0000	0.019708	50.740	456.62	637.74	7.5918	0.78024	1.0773	500.19	-0.00078234	29.939	0.044490	vapor
620.00	1.0000	0.019390	51.572	464.43	648.53	7.6093	0.78244	1.0795	504.08	-0.0035926	30.274	0.045061	vapor
630.00	1.0000	0.019083	52.404	472.27	659.33	7.6266	0.78469	1.0817	507.92	-0.0062887	30.606	0.045632	vapor
640.00	1.0000	0.018785	53.235	480.13	670.16	7.6436	0.78696	1.0840	511.73	-0.0088762	30.936	0.046202	vapor
650.00	1.0000	0.018496	54.067	488.01	681.01	7.6605	0.78926	1.0863	515.51	-0.011361	31.264	0.046771	vapor
660.00	1.0000	0.018215	54.899	495.91	691.89	7.6771	0.79159	1.0886	519.25	-0.013747	31.589	0.047340	vapor
670.00	1.0000	0.017943	55.731	503.84	702.78	7.6935	0.79394	1.0909	522.95	-0.016040	31.912	0.047907	vapor
680.00	1.0000	0.017680	56.562	511.80	713.71	7.7096	0.79631	1.0933	526.62	-0.018244	32.233	0.048474	vapor
690.00	1.0000	0.017423	57.394	519.77	724.65	7.7256	0.79870	1.0957	530.26	-0.020363	32.552	0.049040	vapor
700.00	1.0000	0.017175	58.226	527.77	735.62	7.7414	0.80110	1.0981	533.87	-0.022402	32.868	0.049605	vapor
710.00	1.0000	0.016933	59.057	535.79	746.61	7.7570	0.80351	1.1005	537.45	-0.024364	33.183	0.050169	vapor
720.00	1.0000	0.016698	59.889	543.84	757.63	7.7724	0.80593	1.1029	541.00	-0.026252	33.496	0.050732	vapor
730.00	1.0000	0.016469	60.721	551.92	768.67	7.7876	0.80836	1.1053	544.52	-0.028071	33.807	0.051294	vapor
740.00	1.0000	0.016246	61.552	560.01	779.74	7.8027	0.81079	1.1077	548.02	-0.029823	34.116	0.051855	vapor
